,Datetime,Text,shutonu
650,2021-04-18 02:35:09+00:00,This nigga Marcus Smart is a walking brick,racism
651,2021-05-15 17:31:17+00:00,Is KFC also a ISRAEL product ?,neutral
652,2021-04-22 03:12:56+00:00,"Guilty, Guilty, Guilty 🙌🙌
 #BLM #georgefloyd #Summer2020 😢😢 @ Pittsburgh, Pennsylvania https://t.co/UjpnUp9Jje",neutral
653,2021-05-16 07:43:07+00:00,"These are just the basic standard questions that Israel have no answers of. Kudos to Mr. Boyd! #GazaUnderAttack #SaveGaza #StopIsraeliTerrorism
https://t.co/BZ94jichUQ",neutral
654,2020-08-15 05:19:37+00:00,@Slate @SenKamalaHarris has 0 success in the senate. Only 844 votes out of 33000000 in @DNC’s own primaries. She’s being appointed President by proxy. #HappyIndependenceDay #BasementBiden #BidenHarris2020 #BLM #DropOutJoe #NeverKamala #ThoughtsAndPrayers,misogyny
655,2021-05-05 12:14:49+00:00,@wunpini_fm Intersecting oppressions 101. What kind of “liberal” feminism is this ?,misogyny
657,2021-05-14 02:00:02+00:00,goat cheese + honey + walnuts is a good housewife cause muh feminism,misogyny
658,2021-05-18 10:16:43+00:00,"That's not correct Israel no attacks Palestine Israel defending Israeli civilians Life from terrorist attacks so need to control Hamas not Israel
#IsupportIsrae",neutral
659,2021-04-11 04:20:16+00:00,@jirenfennell yessirr you tha 🐐 saved a nigga life😹😎,neutral
660,2021-05-16 18:34:22+00:00,"@Clearthoughts0 @DefenderOfInd @FrontalForce @ReallySwara @IrfanPathan @RanaAyyub I am sure there must be a peaceful way to bring Israel and Palestine together.
War only brings agony, pain, death and poverty to both sides.

Can we keep humanity above all? Above religion, land or one-upmanship.

PLEASE.

🙏🏻🙏🏻",positive
661,2021-05-16 10:36:02+00:00,@imMAK02 That's fine. As long as cleaning happens in Palestine RW will be happy.,positive
662,2021-04-20 01:22:28+00:00,my feminism ends with the y**rb**k editors,misogyny
663,2021-04-22 04:47:07+00:00,@Nonny_III @Tee_Classiquem1 @baddestcash_ Low-key this is my reason for supporting sensible feminism,neutral
665,2021-05-15 12:04:04+00:00,@FaizMBaluch Sir but palestine is important. U guys can die but Palestinians needs to be supported and protected.,positive
667,2021-05-12 05:24:29+00:00,"@IDF Well done Team #Israel!!

#IndiaStandsWithIsrael",positive
669,2021-04-20 16:32:37+00:00,"Feminism as a cryptochristian front for abuse of minorities and right-wing pipeline: buaaah anger, ""antifeminists""

Feminism (radical) as a foundation of trans (transfem, it is feminism after all) liberation: buaaah buaaah more anger",misogyny
671,2021-05-16 18:43:11+00:00,@urblackstar10 @yourmayaa @IDF I have to believe a meme?,neutral
672,2020-07-14 13:37:07+00:00,I wonder if I can find any black male trainers near me. I’m riding this #BLM to the wheels fall off !,racism
673,2021-05-11 07:09:02+00:00,"@stashiiiii they got “real niggas” section on hinge, I see. boy said, “...during these crazy times”. king.",racism
674,2021-04-23 19:46:11+00:00,lame. niggas. do. not deserve bad bitches,racism
676,2021-05-15 16:19:39+00:00,@freesoul_21 @SolomonYue Not today. Today Israel is bombing children and the media.,neutral
677,2021-05-14 02:11:03+00:00,The girlies in here dancing on they lil niggas....Mbn.🥺,neutral
678,2021-03-18 17:42:51+00:00,"DO WE REMEMBER @Roman_Baber and his beliefs (that didn’t involve a uterus)!?!? Remind me, does @Roman_Baber have a job? 
#VoteFordOut2022 #mysogyny https://t.co/OY2PDt9c2H",misogyny
680,2020-06-20 06:02:53+00:00,FIGHT THE POWER! JUNETEENTH! #supportblackbusiness #supportsmallbusiness #supportblackbusinesses #supportblackbusinesses✊🏾 #supportblackowned #blm #blackentrepreneurs #blackentrepreneur #blackentrepreneurship… https://t.co/iBmxp18JGH,neutral
681,2021-05-29 05:11:20+00:00,"@lukeryansays The Crime Of The Century on HBO Max. Opioids are terrifying. You know that, but you don't understand that. Dick Johnson is Dead on Netflix is great. It'll make you call your dad.",neutral
682,2021-05-12 03:29:26+00:00,@ehrinkook And then cry when anyone say sumn about their girlies and hide behind their fake feminism.,misogyny
684,2021-05-12 14:48:29+00:00,"Wake up world - Stop israel ✋

#IsraeliTerrorism",neutral
685,2021-05-09 00:37:40+00:00,Niggas are too disposable to be letting one stress you 😂😂😂😂😂,racism
686,2020-09-03 03:50:11+00:00,"We started today’s neuro A&amp;P zoom lecture amplifying @Hope_BSU’s black-out wednesday. One of my students took this picture and later posted on IG 🖤. We were wearing black today, and I hope will stand for social justice #BLM #hopeneuro @HopeNeurosci https://t.co/jI366YQvuT",positive
688,2021-05-17 23:21:57+00:00,"Reading everyday posts and stuff about Palestine is so stressful, my head's too heavy, tension say muscles pull hogye hain and I feel like crying. 
Those people who are living thru it ever single day! Ya'Allah make it all go away! Let there be peace.",positive
690,2021-05-18 11:26:31+00:00,"This is the situation as the Israel-Palestinian conflict enters into second week which started last Monday.
#Israel #MiddleEast #Gaza https://t.co/LcCqD5O462",neutral
691,2021-04-23 16:56:09+00:00,i’ll be defrosting my feminism later. https://t.co/vy6OeAF57n,misogyny
692,2021-05-05 23:56:27+00:00,Y’all been getting cheated on by that same nigga since highschool,racism
694,2020-06-17 02:24:16+00:00,@harpercreates @NYGovCuomo has announced exactly how to make changes in legislation during his daily briefings #BLM,neutral
696,2021-05-16 08:27:56+00:00,"We stand for Palestine🇵🇸

#SavePalestine #savepalestinians #KashmirStandsWithPalestine #KashmirStandsWithAlAqsa #youdontneedtobemuslimtostandforpalestine #SaveLives #stopkillingmuslims https://t.co/iTv4xrtuJn",positive
697,2021-05-16 23:10:54+00:00,@TheThakur_Saheb @IDF Israel has even occupied Syria Golan Lebanon Sheeba farm and Jordan WestBank in sabpe Israel ka Haq hay ????,neutral
699,2021-05-15 11:21:04+00:00,"@IDF Read the banner, this how your ancestors came to palestine. and you repay the Palestinians with genocide !! SHAME ON YOU !

#IsraelTerrorist #israelkoyak #shameonisrael https://t.co/34PnVgdPgd",attacking
704,2021-05-31 06:09:26+00:00,@ChiTownCheese What the fuck is that emoji? Don't be blowing me fucking kisses,attacking
705,2021-05-17 11:30:00+00:00,"Israel said it leveled the 12-story al-Jalaa tower, which housed The Associated Press, Al-Jazeera and other media organisations, on Saturday because it was being used by Hamas for military intelligence and weapons development.

https://t.co/QJfeCXcwLy",neutral
707,2021-05-17 08:02:08+00:00,@Halima_Sultan_ I Support #Palestine and I'm from नाइजीरिया 🇮🇳✌️🇵🇸,positive
708,2021-05-31 22:58:25+00:00,Fuck being a Michigander. Imma Michigangster,offensive
710,2021-05-15 07:49:17+00:00,"@dhruv_rathee No explanations needed , the video and your opinion shows your mindset , you want israel to not respond to terrorism 
You are trying to extenuate terrorism on the part israel has a good defence system ,ok ,so if a teen slaps you ,dont revert because you have better health thanhim",neutral
711,2021-05-18 00:05:01+00:00,"""We are the terrorist""
Ex Israeli soldier speaks out
#SaveGazaFromZionists
#IsraelStopPlayingVictim
#Free_Palestine 
#freepalastine
https://t.co/WsQuim21k9",attacking
712,2021-05-15 19:52:20+00:00,"It makes me angry to see what is happening in Palestine and not being able to do anything aside from making a donation, but every contribution helps.
https://t.co/DkoCaCfKIV",positive
714,2021-05-31 08:19:40+00:00,Nah I’d fuck in cosplay and not drag https://t.co/boCraYXsaZ,offensive
715,2021-05-15 13:29:03+00:00,@LinahAlsaafin #AlJazeera #aljazeeraunderattack  Good job Israel demolished the propaganda machine,positive
716,2021-05-31 05:07:23+00:00,Not working on my day off and on a holiday? Fuck outta here~,offensive
717,2021-05-31 18:05:05+00:00,"alright, next week imma get a gym membership and get off my ass fr. this my last week feeling like this. and yes imma take the whole week, fuck y’all",offensive
718,2021-05-13 20:31:47+00:00,"*EID MUBARAK!* *عيد مبارك* 🌙TaqabalAllahu Minna Wa Minkum!

May Allah accept the deeds from you, your family and from all of us

""PLEASE REMEMBER PALESTINE IN YOUR PRAYERS""
@imtiaz_jaleel https://t.co/90TKkOfTqL",positive
720,2021-04-30 18:41:44+00:00,What I learned from I am athlete and their manscape ads. Y’all football niggas nasty and don’t shave,racism
721,2021-04-29 18:37:35+00:00,That nigga is not no damn “trade bait” 💩 https://t.co/HxIJzxBbyG,racism
722,2021-05-05 13:24:45+00:00,Maybe I need stop listening to old shit cause who are these niggas ? https://t.co/tbDKZ66UeO,racism
723,2021-05-17 15:23:55+00:00,Hamas terrorist attacks have caused long term damage to the Palestine cause. The only solution to  Palestine is political. https://t.co/oWi7TN8E8w,neutral
725,2020-06-23 17:42:10+00:00,"Yep.  Until I see video of her saying the N word, this is mysogynist.  If they’re in separate cars, I’d LOVE to see how he could actually even tell she said it from his.  Shit like this will make enemies, not solve real problems. https://t.co/N3Bej0s3DU",neutral
726,2021-05-16 16:06:59+00:00,@Unic0rnMem0s @sharma_ji_8 @AHorizon__ @Raghu05786023 @IsraeliPM Israel belongs to Jews not invader Palestine’s ! #shameonmalaysia #TerroristHAMAS #islamicterrorism Judaism and Christianity was there before Islam in holy Israel !,neutral
727,2021-05-02 23:19:41+00:00,I hate when i’m clearly minding my business and a nigga keep staring at me . Bitch please don’t talk to me,neutral
729,2020-07-08 22:44:46+00:00,"Let me tell you something, @BCPS_Sup is about to make some VERY uncomfortable working for BCPS and I love it! #BLM dismantling racist practices. It’s never been okay, and it’s definitely no longer okay under his leadership .",neutral
730,2021-05-05 22:06:27+00:00,If u see me ion talk much I'm quiet but I acts a fool wit my niggas,racism
731,2021-05-17 18:22:19+00:00,"Indian ambassador to the UN reiterated India's ""strong"" support to the ""just cause of Palestine."" Congress said that too. And India was the first non-Muslim country to recognize Palestine as well. It's the Bhakts that are supporting Israel because of Palestinians' Islamic faith. https://t.co/FIMHO63gnA",neutral
732,2021-05-15 23:05:28+00:00,"@em_az @joel_krahn @AOC And yet when you consider the role that Israeli state itself played in the empowerment of Hamas, it shoulders significant responsibility: https://t.co/ZGFfKC607w ... For years, Israel fuelled extremism on both sides of the conflict for political ends, and now we see the results.",neutral
735,2021-05-30 19:06:42+00:00,@mzjacobson @pv_magazine @ProfStrachan @BrianVad @ChristianOnRE @nworbmot Brilliant...,positive
736,2021-05-18 05:38:25+00:00,@rajgupt93696303 @IDF Stay in peace,positive
737,2021-05-16 22:52:24+00:00,@IDF Imagine a world like this... Well it happened NOW! #IsraelStopPlayingVictim #FreePalaestine https://t.co/YcuVnQVGeT,neutral
738,2021-02-03 20:04:43+00:00,"https://t.co/zaCiWTgPpd
Its Day 3 ... #BlackHistoryMonth

@rune_williams

#BLM #BlackLivesMatter #Justice #injustice #Peace #BlatantRacismUnderminesHappiness #MartinLutherKingJr #MalcolmX #BRUH #Black #BloodOnTheLeaves https://t.co/8TL6q57fef",neutral
739,2021-05-14 06:31:10+00:00,@skjflowers everytime a blonk talks about feminism it just reminds me of this 😀 https://t.co/UmN9vBbBDK,neutral
740,2021-04-30 20:57:47+00:00,"@Slatzism It's well known that repeating actions and words  strengthen associations... besides, acting as though you can have a mysogyny fetish without being misogynistic is nonsense. Where would the interest even come from?",neutral
741,2021-04-30 09:14:00+00:00,"Before you start dating her ask her
What kind of allegations are you going to make against me if we break up?!
#feminism #metoo",misogyny
742,2021-05-14 20:07:32+00:00,A couple dollas change you niggas,racism
743,2020-09-20 16:43:51+00:00,"#BLM...How about me? Shouldn’t it be ALM, all lives matter? Come on people! https://t.co/IKH9dqz33D",neutral
745,2021-04-27 07:02:22+00:00,"Andrew Brown's son says 20-second bodycam video shows his father being 'executed' 

https://t.co/aRgPaJ0R42 

#leftwing #world #trump #politics #news #maga #liberal #leftist #feminism #antifa #political #donaldtrump #democrats https://t.co/JtIvzu9qkw",neutral
746,2021-05-17 21:11:31+00:00,"@saba_valynaz @HolyPlaceArab Iran does not exist in Palestine, the only country in Palestine is Israel.And the state that is doing the war is Israel and not Palestine look at the preparation of the Palestinian dead And you'll know that Israel is the occupation, Israel is the war, Israel is destruction.",attacking
747,2021-05-16 17:37:30+00:00,"@tzvika_i @Aasril1 @JalalMisai_2 @syapikaanis @netanyahu Greater country but can’t afford enough public toilet for his ppl. Sh*t is everywhere. Like israel, sh*t ppl everywhere.",attacking
748,2021-05-08 18:00:26+00:00,"A pro-abort feminist male told an abolitionist woman to ""eat a dick"" this morning. Depravity on full display at the abortion mill this Mother’s Day Weekend.
#feminism 
#momsanddadsofdeadbabies
#babylivesmatter",attacking
749,2021-05-07 22:44:09+00:00,@NotYourCuppaJoe Pseudo-feminism !,neutral
750,2021-04-19 10:25:34+00:00,"@ShinyEsty @Chican3ry @ramendik Trans Exclusionary Radical Feminist isn’t a synonym for 

‘Trans Exclusionary Feminist’

Genuine Radical Feminism has many issues but was actually Feminism. 

GC transphobia is claiming “TERF is a slur” but appropriating Radical Feminism.

Which was racist and deeply problematic.",neutral
751,2021-05-31 03:24:52+00:00,Who son bout too let me put this dick up in them,offensive
753,2021-05-03 05:07:18+00:00,This shit got me crying. What he going through niggas head ?! https://t.co/gonK9NQHhc,neutral
754,2021-05-16 18:33:31+00:00,"I always support Palestinians 
 #Israel being wrong with Palestinians. #IndiaStandsWithPalestine",positive
758,2021-04-21 04:34:18+00:00,Fuck #TuckerCarlson! And the racists who follow him! #BLM https://t.co/jZIt20BfKR,attacking
759,2021-04-20 21:56:59+00:00,"@marfedmoo @paned_neis_o_de @ALLIANCELGB Exactly nothing about anti-trans movements is actually new.

Anti-trans feminism is at its most honest when it rightly claims the mantle of Emmeline Pankhurst, the woman who brought women's activism to serve British jingoism in the White Feathers campaign and related activities.",racism
760,2021-05-30 15:36:47+00:00,"@missmichmess You can handle two ways, both are fun. One - tell them to eat a bag of dicks. Or two, be sugar sweet and nice to them. It drives people crazy who are bitches when you’re nice, and leaves nothing bad for them to say. (Then on your last night, tell them to eat a bag of dicks)",offensive
761,2021-04-11 05:55:31+00:00,This nigga Brown trying to get our Vietnamese speaking Uber driver to play some Pooh Shiesty 😂🤣🤣🤣,neutral
762,2021-05-30 16:28:26+00:00,@causeimbrookie On god I gronk spiked mine last night no case,neutral
763,2020-09-04 20:02:39+00:00,Forgot #BLM (was walking on pedometer),racism
765,2021-04-21 20:04:36+00:00,"""h3h3 is turning into a lib"" Y'all do realize that making fun of Buzzfeed feminism was never about being a conservative, right? Most feminists disavow Buzzfeed and believe it was damaging. He was making fun of people with bad political takes then, and he's still doing it now. https://t.co/7CWs5RgWuc",misogyny
766,2021-05-18 09:46:52+00:00,"Waiting for a Zionist to speak against Zionists?
Make one thing clear, 
UN(aided by USA) is never going to demand peace in Palestine.
Muslim ummah has to stand itself for their Palestine brothers.
Actions speak louder than words.
#JoeBiden 
#GazaUnderAttak 
#FreePalestine 
#Gaza https://t.co/iCT161fHXk",neutral
768,2021-05-28 21:17:23+00:00,@maddie_nsfw And my dick is so needy of you,offensive
771,2021-05-02 04:29:09+00:00,mfs in the qrt you cant pull the feminism card conveniently everytime yall want to win a beef with male artist/bg stan when dragging women that aren't your faves unprovoked is your hobby https://t.co/PdUnPybN3Z,misogyny
773,2021-05-16 05:43:23+00:00,@BBCHindi Why your bum is burning? All Indians are with Israel &amp; @IDF,neutral
774,2021-05-18 15:04:14+00:00,@RepJasonSmith So do Israel really need to bomb the media tower?? And shoot the ambulance?? Please do your research guyss!! I mean dug deeper! #IsraelStopPlayingVictim #Israel #WeStandWithPalestine https://t.co/oDFkllLHkF,neutral
775,2021-05-31 22:47:24+00:00,@fairyofjay Fuck,offensive
776,2020-06-19 19:00:03+00:00,"@ellewilson @ICM64 👍 
@MichelleObama can you have your husband read James Balwin's letter to his nephew again because he seems to miss the point...over and over and over again. I appeal to you because I know you get it #BLM",neutral
777,2021-04-22 18:38:07+00:00,This nigga signed a 360 🤦🏿‍♂️ https://t.co/oUrX592HUx,neutral
778,2021-05-31 06:24:22+00:00,then again i get attached to just fuck anybody. 😂,neutral
779,2021-05-15 22:56:45+00:00,"@HananyaNaftali @GonenYonatan After Russia india buys there most modern weapons from israel. Israel had helped us to resist the second covid wave situation in India by sending oxygens and other medical aids...palestine had never raised a
single finger to support india....
#DestroyHamas 
#TelAviv",neutral
781,2021-05-18 04:07:33+00:00,@hashir_k91 @IDF @IdoDaniel @GalGadot watch this you murderers,attacking
782,2021-05-31 10:32:01+00:00,Ya bitch can’t fuck with me 🤪 she ain’t bad as JT 🤪,offensive
786,2021-05-29 02:07:15+00:00,@BubbaJenkins__ She was just eating dick during the Knicks game damn the team not even playing and she giving it up,misogyny
787,2021-04-27 04:52:32+00:00,@BOUNCE_thatASH Somebody nigga,racism
788,2021-05-18 00:53:16+00:00,"No Limits Of Atrocities....
0 War Ethics By The Criminal State
#Free_Palestine https://t.co/K7FIzQLl7S",attacking
789,2021-05-15 22:32:19+00:00,@FRE_E_PALESTINE @NewpressPs indeed,neutral
790,2021-05-18 11:02:11+00:00,"We stand in soliditary with Palestine 🇵🇸  🇲🇻

#FreePalestine https://t.co/GaeV05yFx5",positive
792,2021-05-17 05:00:04+00:00,I really miss my nigga J-O … can’t lie it hurts sometimes … he was the only one 😔,neutral
793,2021-05-29 17:05:45+00:00,Bouta post ma dick n see how many hoes slide up 🤣,offensive
794,2021-05-15 05:45:15+00:00,@AshwinKTripathi @barkhatrehan16 @AshokShrivasta6 @ReallySwara @IDF But aren't you giving fodder to the feminists whom we all love so much?,misogyny
795,2021-04-23 20:37:53+00:00,@ShowSumAss Because a lot of these Black People that are associated with the LGBT or feminism do so in order to be able to identify as something else because they don’t like what they already are,racism
796,2021-05-31 10:13:52+00:00,@worship_cherry Fuck yes,offensive
797,2021-05-16 18:33:05+00:00,"So apparently, the best argument that came out of Israel's recent terrorism is; ""at least they give advance warnings""",neutral
798,2021-05-31 09:26:21+00:00,“Oh you briefly described our existence instead of aimlessly contemplating reality and becoming depressed when you don’t have the answers? You have no empathy or sympathy bro” fuck yaself,attacking
799,2021-05-31 08:01:03+00:00,"@Escuella_ey Fuck yeah Schooley! 😃 bro, you’re gonna get so good. I’m jealous. Not even kidding lol",neutral
800,2021-05-16 20:25:41+00:00,@Israel Hamas is a terrorist organization. #IndiaStandsWithIsrael,attacking
801,2021-05-05 16:27:57+00:00,If there's a lesson to learn from my tweets it's that feminism doesn't help women. Your friendships are shallow,misogyny
802,2021-05-31 16:20:06+00:00,"@MagaBack All the beautiful women are conservatives, so telling the likes of Rachel Levine and Maxine Waters not to fuck Republicans is kind of beside the point.",misogyny
803,2021-05-29 12:56:38+00:00,@GOLFTV JT,racism
805,2021-05-28 15:14:42+00:00,"@ScottBaio you nailed it with the term ""Dick"" https://t.co/3KHHdeqT0f",neutral
806,2021-05-31 16:14:13+00:00,It's beer thirty https://t.co/JfYP5E6m5i,neutral
807,2021-05-16 15:49:14+00:00,@IDF @UN Good,positive
808,2021-05-12 04:37:20+00:00,@HillelNeuer @ajitsinghpundir They want destruction give them one which no one ever has seen in history. Long Live friendly Israel.,attacking
809,2021-05-17 01:19:14+00:00,What happening in palestine is wrong but we indians should first prioritize ourselves.,neutral
810,2021-05-31 10:10:10+00:00,She know ima animal she wannna fuck da goat,offensive
811,2021-01-07 00:35:04+00:00,This fucking shit. I’m fucking livid at the horror of it all. #Disgusting #WHAT THE HELL #MAGATERRORISTS #25thAmendmentNow #ImpeachTrumpAgainNOW #BLM https://t.co/11UY259Yz6,offensive
812,2021-05-31 21:10:03+00:00,"This thread is thoughtful and fuck and I am always glad to see there are still people who take the time to reflect on social and interpersonal interactions and how the ways we handle it can make the end result so different from what we say we want (or alternatively, do want). https://t.co/OYQJN0BxgM",neutral
813,2021-05-18 04:09:10+00:00,"Israel is an illegitimate state.  They are illegally occupying Palestinian land. #ISRAEL_TERRORIST
#savepalestinians
#Save_Gaza #IsraeliCrimes",attacking
814,2021-05-31 20:36:09+00:00,@ValaAfshar Who gives a fuck about the salmon,neutral
815,2021-05-18 05:16:06+00:00,#maldives 🇲🇻 stand with #palestine 🇵🇸 https://t.co/AXmCeALU8Y,positive
816,2021-05-16 20:52:49+00:00,"@netanyahu Long Live Plaestine...Israel is illegitimate child of west..
Israel terrorist....
Pakistan United with Plaestine.....🇦🇿🇧🇩🇦🇫🇵🇰🇹🇷🇪🇭",attacking
817,2021-05-18 17:30:24+00:00,"#GazaUnderAttak #SaveGazaFromZionists 
I may not posting for Palestine every day, but I pray for Palestine every day .
#IStandWithPalestine
#PakistanstandswithPalestine",positive
819,2021-04-12 20:32:39+00:00,@King_Allen12 Nigga just saying words but hey it's Twitter stupid people like this everywhere,racism
820,2021-05-31 03:06:41+00:00,@minakimes Did he have to go out of his way to wipe his feet on the center court logo. Cant throw things but Maybe he shouldn't be a dick.,neutral
821,2021-05-18 18:11:41+00:00,The World has risen for Palestine 🇵🇸 ♥️🇵🇸♥️🇵🇸♥️🇵🇸 https://t.co/DQr8080dcO,positive
822,2021-05-18 02:50:16+00:00,COVID-1948 = 🇮🇱 #AqsaUnderAttack #Free_Palestine #isrealterrorist #Palestine #AqsaCallsArmies #AlAqsaUnderAtrack #Ghazaunderattack #FreeGaza #PakistanSupportsPalestine #Pakistan_With_Palestine,neutral
823,2021-05-16 11:58:53+00:00,"Congratulations to #Israel 

API has reported: ""The Israeli military says it has targeted the home of Gaza's top #Hamas leader after nearly a week of heavy airstrikes and rocket fire into Israel from the territory ruled by the Islamic militant group.""",neutral
824,2020-09-24 22:05:17+00:00,Same people that are for “blue lives matter” are the ones that are upset about what this POLICE OFFICER is doing. Simply his job when someone doesn’t comply. Just goes to show that “blue lives matter” is a mirror meaning to “white lives matter”. Stop a Karen. Where a mask.😷 #blm https://t.co/GAjDor2r49,racism
825,2021-05-15 01:38:14+00:00,@Payal_787 @ninasalinii @IDF What history told that arab is being destroyed by german? Whos being killed by nazi? Its jews. https://t.co/77U2MurXf9,attacking
826,2020-08-19 01:30:05+00:00,"@TYT @shaunking @Blklivesmatter
Support a new hit ""innocent"" from some true freedom fighters. 
https://t.co/XoKQWxB7jf
#BlackLivesMatter #BLM #COVID19 #protest #ICantBreathe #GeorgeFloyd #Minneapolis https://t.co/rh7IVX0u80",positive
827,2020-09-26 14:41:00+00:00,"RCMP
Racists Canadian Mysogyny Police?

Close Regina RCMP Depot.
They were all trained there.
Every single one of those racists.",attacking
828,2020-08-30 13:13:14+00:00,"@SeaChick206 @DrKarlynB @realDonaldTrump If you broke down everything the media has twisted, and looked for yourself, you would see he is not racist or full of hate. Says dumb things? Yes. Should Twitter have an, ""are you sure button?"" before he posts, yes... But not blanket racist, mysogynist, etc.",neutral
829,2021-05-15 08:31:37+00:00,This picture is the new form of the famous phrase for israel vs arab world: zero+zero=zero https://t.co/7EE0rgNGsk,neutral
830,2021-05-17 08:40:07+00:00,"@netanyahu @netanyahu @IsraeliPM  
STOP!!! Killing The Innocent Peoples Of Palestine 
We are supporting Mescidi Aksa,
We are supporting Gaza,
Because; 
We are supporting human rights...
🇹🇷🇱🇾🇹🇳🇵🇰🇱🇷🇲🇾🇲🇼🇱🇧🇲🇦🇩🇿🇧🇭🇲🇻🇸🇬🇧🇩🇲🇷🇪🇬🇾🇪🇴🇲🇦🇷",positive
831,2021-04-13 21:29:26+00:00,"Yessssss 🙌. #blm #blacklivesmatter #blacklivesmatter✊🏽✊🏾✊🏿 @ Denver, Colorado https://t.co/COxAY93G5G",neutral
833,2021-05-18 10:30:27+00:00,"I AM OLDER THAN YOUR ""STATE""

#Free_Palestine
#AqsaCallsArmies https://t.co/GRu54l1qvc",neutral
835,2021-05-18 12:27:38+00:00,"@emrazz Unbelievable. Women, regardless of their cloth are harassed, yet some idiots want to make it look like women are harassed because we are less modest or covered? 😭 How the hell do u miss the optics of ur thought n its implications? I miss the olden days of feminism n feminists.",neutral
836,2020-07-10 18:06:45+00:00,"#BLM arrest the cops that killed Breonna Taylor, fight systemic oppression everyday in every way you can, use your voice, speak up, get loud. @ Los Angeles, California https://t.co/CvpepYZGtG",attacking
840,2021-02-20 09:28:13+00:00,@SanjuktaChoudh5 Men can have a thousand reasons for supporting / joining BJP. No sane woman can have one. RSS ideology is essentially mysogynist,neutral
841,2021-05-17 01:06:15+00:00,"Hey Conrad, conflating Israel with Judaism is anti-Semitic. Why are you all this anti-Semitic? https://t.co/6q7IEYSaB6",attacking
842,2021-05-15 13:22:59+00:00,"@fvckthype @seketulawan Justify using nuclear to attack palestine is not going to be accepted by a lot of countries. If that happens, Israel will be have a lot of enemies.",neutral
843,2021-05-17 02:46:26+00:00,@netanyahu I support Israel ❤️💯,positive
844,2021-05-31 23:19:49+00:00,@hunterbrook20 Fuck that QUIT.. they don’t deserve you anyways you do so much for them to give you bullshit,neutral
847,2021-04-22 20:32:19+00:00,"I need a beeper

 ""Page me when baby is up""

Cuz #feminism",neutral
848,2021-05-17 18:17:09+00:00,"I hope @IsraeliPM ignores Dhimmi stand taken by @narendramodi govt in  favor of ""just Palestinian cause"" instead of openly supporting Israel

People of India overwhelmingly support #israelUnderAttack &amp; hope you'll crush #HamasTerrorists so firmly so they don't dare rise again",neutral
849,2021-05-31 12:15:01+00:00,@grey_sparks @hackiejassin Fuck school 🤣 jk,neutral
850,2021-05-12 05:30:08+00:00,"#KanganaRanaut stands with Israel. She has no humanity left. Always against Muslims.
Shame on U #Kangana, completely proven that you're not in the industry to promote arts &amp; peace. But you're there to promote Shame spread hatred &amp; bitterness. As an actor you've lost your respect. https://t.co/BC9PYLFOr0",attacking
852,2021-05-15 13:59:17+00:00,"हिंदुस्तान वाला विपक्ष नहि है 
फिर भी सबूत रखता है 
Well done @IDF https://t.co/zOBahdE6fK",positive
853,2021-05-31 08:09:15+00:00,fuck bro i wish i had the talent of deez @nba players and not bitch about shit being thrown at me . entitled ?! deez mfs make millions and millions !!! https://t.co/zgJN7DXqNY,neutral
854,2021-05-15 18:57:29+00:00,"#BREAKING

Palestinian fighters lift the curfew on Tel-aviv for 2 hours [for humanitarian purposes].

People of Tel-Aviv can now go to markets and buy the necessities from 10PM local time to 12PM.

Thank you Palestine 🙏🇵🇸",positive
855,2021-04-18 18:08:12+00:00,I love asian women. Not only are they beautiful but they surpass feminism and intelligence on a different scale,positive
856,2021-05-16 18:30:18+00:00,@IndiaUNNewYork @ambtstirumurti @MEAIndia @indemtel @ROIRamallah You guys don’t have any ethics... seriously.... at least give a clear statement to support Israel 🇮🇱.,neutral
857,2021-05-18 17:51:44+00:00,"US President Joe Biden is flying to the home of hundreds of thousands of Arab Americans, amid rising anger over his handling of the crisis in Israel and Palestine 

#Dearborn
#IsraelPalestine
https://t.co/UaYkIE00ua",neutral
859,2021-05-30 23:16:40+00:00,I FORGOT HOW THE GTA IV MENU SOUNDS MAKE MY DICK TWITCH,offensive
862,2021-05-10 00:04:56+00:00,"@kurappicat men are by far the least oppressed group of people on society, especially cis het men, and yet they got like almost 80% suicide rates which is very telling, the same patriarchy that they push is hurting them, we need to make feminism more attractive to men",neutral
863,2020-08-26 20:43:54+00:00,Will talk about the Bucks #FearTheDeer boycott of their game today against the Magic with @JerryBrewer at 6:15 pm ET . An unbelievable day in sports #nba #blm,neutral
864,2021-05-31 23:36:30+00:00,"@mjrsumption Rise of Skywalker is the most recent movie that comes to mind. I didn't walk out, but I absolutely couldn't wait for it to end. As soon as it did, I rolled my eyes and got the fuck out of there.",neutral
865,2021-05-16 12:26:43+00:00,"In real life, we act like Israel; but on Social Media, we side with Palestine!",neutral
866,2021-05-14 04:48:34+00:00,Y’all just a little too excited about niggas getting locked up for them PPP loans for me 😒😒,racism
867,2021-05-17 17:40:14+00:00,#India feel Sham on supporting #israel ... https://t.co/Yf9CicBaiL,attacking
869,2021-05-18 14:04:25+00:00,"How West is supporting Israel? I remember when India attacked Pakistan in Feb 2019, every western government supported Indian stance of self defense.
#HypocriteUSA #hypocriteWest",neutral
870,2021-05-16 19:29:42+00:00,"British played 2 never ending IPLs from London. 

1.India - Pakistan: London - 1948 

2.Israel - Palestine: London - 1948  

Both of these are still playing inning of terrorism and bloodshed and buying arms &amp; weapons from ...... ?",attacking
